Referencia	Título	Autor	Ilustrador	Edición	Editorial	Lugar de publicación	Año de publicación	ISBN	Formato	Encuadernación	Peso	Edición	Tirada	Firmado	Descripción	Estado del libro	Estado de la cubierta	Precio	Tipo de artículo	Cantidad	Catálogo	Palabras clave	Categoría de AbeBooks	URL imagen
1574	Vida es Más, La	Marquina, Eduardo			Reus Bibliot. literaria de autores españoles	Madrid	1928			Tela editorial					<p>302. Comedia en 3 actos y en verso</p>	Aceptable		6	Libro	1				
1123	Sindicalismo alemán de la postguerra, El	Marrero, Vicente			Ateneo o crece o muere	Madrid	1954			Rústica					<p>303. intonso</p>	aceptable		3	Libro	1				
1427	Preludio trágico	Marsh, Ngaiq			Cumbre	México	1954			Tela editorial					<p>304</p>	aceptable		5	Libro	1				
989	Tetela del volcán	Martinez Marin, Carlos			Universidad nacional autónoma de México		1968								<p>307. México, 24x17, 229pgs., tela ed. con sbr., fotografías en B/N</p>	<no especfificado>		10	Libro	1				
1317	Museos	Martinez Ugarte, Julia			Publicaciones españolas temas españoles	Madrid	1959			Cuadernillo					309. con firma del anterior propietario, con fotografías en B/N	Excelente		4	Libro	1				
616	Religión y milicia	Mateo, Andres Maria			Afrodisio Aguado		1943								<p>313. Madrid, 17x11, 378pgs., cartoné, dedicatoria del autor, lomo deteriorado</p>	Algo deteriorado		6	Libro	1				
1620	Aventuras del burro Judas	Millán, Luis			Imprenta clásica española	Madrid	1926			Tela					<p>323. ilustraciones de C. Fernández Ardavín</p>	Aceptable		14	Libro	1				
1382	Bella Otero, La	Mille, Raoul			Martínez Roca	Barcelona	1995			Rústica					<p>324</p>	Bien		5	Libro	1				
966	Napoleón	Minguez Sender, Jose M			Bruguera Si No		1972			Rústica					326. Barcelona, 17x10, 221pgs., rústica	<no especfificado>		4	Libro	1				
1449	Amami, Alfredo! (polvo de estrellas)	Moix, Terenci		1ª Edición	Plaza&Janés Literaria	Barcelona	1984			Rústica		1ª Edición			<p>327</p>	aceptable		4	Libro	1				
1490	Día que murió Marilyn, El	Moix, Terenci		1ª Edición	Plaza&Janés Literaria	Barcelona	1984			Rústica		1ª Edición			<p>328. falta la primera hoja en blanco</p>	Aceptable		5	Libro	1				
1486	Garras de astracán	Moix, Terenci		1ª Edición	Planeta Autores españoles e hispanoamericanos	Barcelona	1991			Tela editorial		1ª Edición			<p>329</p>	Aceptable		6	Libro	1				
1485	Nuestro virgen de los mártires	Moix, Terenci		1ª Edición	Plaza&Janés Literaria	Barcelona	1983			Rústica		1ª Edición			<p>330. falta  hoja de respeto</p>	aceptable		5	Libro	1				
1453	Sexo de los ángeles, El	Moix, Terenci		1ª Edición	Planeta Autores españoles e hispanoamericanos	Barcelona	1992			Tela editorial		1ª Edición			<p>331</p>	Aceptable		6	Libro	1				
1503	Documentos secretos	Montero, Isaac		1ª Edición	Anaya & Mario Muchnik	Madrid	1995			Rústica		1ª Edición			<p>332. 4 tomos, tomo I: Citas a un juicio, Tomo 2: Ropa de vestir, Tomo 3: Árboles, tomo 4: Necesidad de un nombre propio,  240, 196, 129, 288pgs. por tomo</p>	Excelente		12	Libro	1				
181	Mujer y el matrimonio en w.m. Thackeray	Moya Gutiérrez			PPU		1992			Rústica					342	Aceptable		6	Libro	1				
337	Entrada general y los morenos	Muñoz Seca,Pedro			Fundación "Pedro muñoz seca		1995								343. 25x17, 211pgs, tela ed	<no especfificado>		12	Libro	1				
1354	Caliz de cristal, El y otras narraciones	Murciano, Aurora - De la Vega, Lasso			Escelicer	Cádiz	1966			Rústica					<p>344. Intonso.Narraciones de los siglos XII al XVIII</p>	Aceptable		6	Libro	1				
1547	Discorsi dal banco di deputato (1921-1922)	Mussolini, Benito			Alpes	Milano	1928			Rústica					<p>345. lomo con deterioro</p>	Fatigado		20	Libro	1				
1546	Discorsi del 1930	Mussolini, Benito			Alpes	Milano	1931			Rústica					<p>346</p>	Deteriorado		25	Libro	1				
75	Enseñanza en madrid, La	Olivera Poll, Ana			Instituto de estudios madrileños		1978								350	<no especfificado>		4	Libro	1				
1403	Escuela y la comunidad, La	Olsen, Edward G			Unión tipográfica editorial Hispano-Amer	México	1951			Tela editorial					<p>351</p>	Aceptable		7	Libro	1				
1346	Rosal de Magdalena, El	Oviedo, A.M			Apostolado de la prensa	Madrid	1946			Cartoné editorial					<p>355. cartoné ilustrado</p>	aceptable		7	Libro	1				
353	tendencias actuales de la doctrina italiana de derecho internacional público	Pecourt Garcia,Enrique					1965			Rústica					361. Valencia,24x18,260pgs.,Rústica, fatigado, cubiertas manchadas	<no especfificado>		5	Libro	1				
123	Historia universal (tomo nº 5)	Pirenne, Jacques			Leo		1954			Tela editorial					368. manchas de humedad, fatigado	Pobre		12	Libro	1				
961	Waikas o mil años atrás, los	Quilez, Jose L			Ediciones iberoamericanas		1968			Rústica					<p>378. Madrid, 23x16, 373pgs., rústica, con fotografías en B/N y color</p>	<no especfificado>		6	Libro	1				
